CustomerID,PhoneService,MultipleLines
2070-FNEXE,Yes,No
5947-SGKCL,Yes,Yes
3712-PKXZA,Yes,No
6317-YPKDH,No,No phone service
6582-OIVSP,Yes,No
9367-WXLCH,Yes,Yes
5524-KHNJP,Yes,No
1918-ZBFQJ,Yes,No
1024-GUALD,No,No phone service
4827-USJHP,Yes,No
8167-GJLRN,No,No phone service
0956-SYCWG,Yes,No
8017-UVSZU,Yes,Yes
7100-FQPRV,Yes,Yes
2472-OVKUP,Yes,No
2984-RGEYA,Yes,No
9680-NIAUV,Yes,Yes
2146-EGVDT,Yes,No
2604-IJPDU,Yes,No
9178-JHUVJ,Yes,Yes
6168-YBYNP,Yes,Yes
7255-SSFBC,Yes,Yes
3645-DEYGF,Yes,No
9323-HGFWY,Yes,No
8544-GOQSH,Yes,No
3363-DTIVD,Yes,Yes
7018-WBJNK,Yes,No
9142-KZXOP,Yes,No
7674-YTAFD,Yes,No
6348-SNFUS,No,No phone service
1285-OKIPP,Yes,No
7825-ECJRF,Yes,No
1347-KTTTA,Yes,No
7841-TZDMQ,Yes,No
4195-NZGTA,No,No phone service
7157-SMCFK,Yes,No
4709-LKHYG,Yes,No
2504-DSHIH,Yes,Yes
0699-NDKJM,No,No phone service
9286-BHDQG,No,No phone service
0230-WEQUW,No,No phone service
2040-LDIWQ,Yes,Yes
6496-JDSSB,Yes,No
9408-SSNVZ,Yes,No
4443-EMBNA,Yes,Yes
6469-MRVET,Yes,No
0742-MOABM,Yes,No
5961-VUSRV,Yes,No
6778-JFCMK,No,No phone service
6341-JVQGF,Yes,No
2232-DMLXU,Yes,No
4811-JBUVU,Yes,Yes
0945-TSONX,Yes,Yes
2651-ZCBXV,Yes,Yes
3316-UWXUY,Yes,No
8937-RDTHP,Yes,No
7083-MIOPC,Yes,No
1984-GPTEH,Yes,Yes
1251-KRREG,Yes,Yes
0621-JFHOL,No,No phone service
9903-LYSAB,Yes,Yes
0094-OIFMO,Yes,No
9227-UAQFT,Yes,No
7301-ABVAD,Yes,Yes
6614-FHDBO,Yes,Yes
7576-ASEJU,Yes,No
9058-HRZSV,Yes,No
4522-AKYLR,Yes,No
0221-WMXNQ,Yes,No
0303-UNCIP,Yes,Yes
9947-OTFQU,Yes,No
0322-YINQP,Yes,No
0959-WHOKV,Yes,Yes
4075-JFPGR,Yes,No
4629-NRXKX,Yes,No
9514-JDSKI,No,No phone service
3282-ZISZV,Yes,Yes
3675-YDUPJ,Yes,No
4111-BNXIF,No,No phone service
7017-VFHAY,Yes,Yes
6655-LHBYW,Yes,Yes
4959-JOSRX,Yes,No
5046-NUHWD,No,No phone service
7273-TEFQD,No,No phone service
3606-TWKGI,Yes,Yes
7529-ZDFXI,Yes,Yes
7605-BDWDC,No,No phone service
1950-KSVVJ,Yes,Yes
0123-CRBRT,Yes,Yes
6292-TOSSS,Yes,Yes
3197-ARFOY,Yes,No
6323-AYBRX,Yes,No
7014-ZZXAW,Yes,Yes
4385-GZQXV,Yes,No
7633-MVPUY,Yes,No
6366-ZGQGL,No,No phone service
4716-HHKQH,Yes,Yes
5940-AHUHD,Yes,No
6432-TWQLB,Yes,Yes
4484-GLZOU,Yes,Yes
3179-GBRWV,Yes,No
8645-KWHJO,No,No phone service
4130-MZLCC,Yes,No
0314-TKOSI,Yes,No
8229-MYEJZ,Yes,No
2080-SRCDE,Yes,Yes
9577-WJVCQ,Yes,Yes
9512-UIBFX,Yes,No
6202-DYYFX,Yes,Yes
3808-HFKDE,Yes,No
5583-SXDAG,Yes,No
3488-PGMQJ,Yes,No
3580-REOAC,Yes,No
7534-BFESC,Yes,Yes
3727-OWVYD,Yes,No
2294-SALNE,Yes,No
4847-TAJYI,Yes,No
1563-IWQEX,Yes,No
8203-XJZRC,Yes,No
6556-DBKZF,Yes,No
6851-WEFYX,Yes,Yes
2985-JUUBZ,Yes,Yes
6390-DSAZX,Yes,No
0895-LMRSF,Yes,No
8098-LLAZX,Yes,Yes
8266-VBFQL,Yes,No
8181-YHCMF,No,No phone service
2240-HSJQD,Yes,Yes
1248-DYXUB,Yes,Yes
0265-EDXBD,Yes,Yes
4115-BNPJY,Yes,No
3167-SNQPL,Yes,Yes
4091-TVOCN,Yes,Yes
1098-TDVUQ,Yes,No
7277-OZCGZ,Yes,No
1557-EMYVT,Yes,Yes
2799-ARNLO,Yes,No
7563-BIUPC,Yes,No
5027-YOCXN,Yes,Yes
3973-SKMLN,Yes,No
2321-OMBXY,Yes,No
2840-XANRC,Yes,No
6745-JEFZB,Yes,Yes
5020-ZSTTY,Yes,Yes
9880-TDQAC,No,No phone service
8705-WZCYL,Yes,No
7102-JJVTX,Yes,No
8626-PTQGE,No,No phone service
4983-CLMLV,Yes,Yes
5701-YVSVF,Yes,No
5804-LEPIM,Yes,No
5697-GOMBF,No,No phone service
2739-CACDQ,Yes,Yes
9385-EHGDO,Yes,No
9498-FIMXL,Yes,No
2379-GYFLQ,Yes,Yes
0122-OAHPZ,Yes,Yes
2868-SNELZ,Yes,Yes
4322-RCYMT,Yes,Yes
6680-NENYN,Yes,Yes
2088-IEBAU,Yes,Yes
7982-VCELR,Yes,No
1343-EHPYB,Yes,Yes
6035-BXTTY,Yes,No
6885-PKOAM,Yes,Yes
7520-HQWJU,Yes,Yes
9639-BUJXT,Yes,No
5924-SNGKP,Yes,No
0021-IKXGC,Yes,Yes
2034-GDRCN,Yes,No
8966-SNIZF,Yes,No
6243-OZGFH,No,No phone service
4654-DLAMQ,Yes,No
0513-RBGPE,Yes,Yes
5160-UXJED,Yes,No
4115-NZRKS,Yes,No
0219-YTZUE,Yes,Yes
0623-IIHUG,No,No phone service
4572-DVCGN,Yes,No
3351-NGXYI,Yes,Yes
8984-EYLLL,Yes,Yes
9057-MSWCO,No,No phone service
9833-TGFHX,Yes,Yes
9294-TDIPC,Yes,No
5229-DTFYB,Yes,No
0104-PPXDV,Yes,No
5176-LMJXE,Yes,No
3583-KRKMD,Yes,No
1010-DIAUQ,Yes,No
9069-LGEUL,Yes,No
7302-ZHMHP,Yes,No
9571-EDEBV,Yes,Yes
3520-FJGCV,Yes,Yes
6563-VRERX,Yes,No
0259-GBZSH,Yes,Yes
6122-EFVKN,No,No phone service
2805-EDJPQ,Yes,Yes
6862-CQUMB,Yes,No
7156-MXBJE,Yes,Yes
6158-HDPXZ,No,No phone service
9601-BRXPO,Yes,Yes
2863-IMQDR,Yes,Yes
5686-CMAWK,Yes,Yes
5651-CRHKQ,Yes,No
6905-NIQIN,Yes,No
8204-YJCLA,No,No phone service
5167-ZFFMM,Yes,Yes
6583-SZVGP,Yes,Yes
4895-TMWIR,Yes,No
0533-BNWKF,Yes,Yes
1708-PBBOA,No,No phone service
8782-LKFPK,Yes,Yes
5522-JBWMO,Yes,No
3597-MVHJT,Yes,Yes
9774-NRNAU,Yes,Yes
0224-RLWWD,Yes,No
9967-ATRFS,Yes,No
3951-NJCVI,Yes,Yes
2977-CEBSX,Yes,Yes
0177-PXBAT,Yes,Yes
6599-CEBNN,Yes,No
2519-ERQOJ,No,No phone service
5876-QMYLD,Yes,No
2277-AXSDC,Yes,No
9442-JTWDL,Yes,No
0979-PHULV,Yes,Yes
3067-SVMTC,Yes,No
5495-GPSRW,Yes,No
7606-BPHHN,Yes,No
4742-DRORA,Yes,Yes
0111-KLBQG,Yes,No
4800-VHZKI,Yes,No
7989-CHGTL,Yes,No
0334-GDDSO,Yes,Yes
4163-NCJAK,Yes,Yes
5233-AOZUF,Yes,Yes
5973-EJGDP,Yes,Yes
1996-DBMUS,Yes,No
7916-VCCPB,Yes,No
4686-GEFRM,Yes,Yes
5249-QYHEX,Yes,Yes
0578-SKVMF,Yes,No
5564-NEMQO,Yes,No
2233-FAGXV,Yes,Yes
5605-IYGFG,Yes,No
7663-ZTEGJ,Yes,Yes
3935-TBRZZ,Yes,Yes
8111-BKVDS,No,No phone service
2055-SIFSS,Yes,Yes
2806-MLNTI,Yes,Yes
8734-DKSTZ,Yes,Yes
4360-PNRQB,Yes,Yes
6152-ONASV,Yes,Yes
9063-ZGTUY,Yes,No
7781-HVGMK,No,No phone service
2181-UAESM,Yes,No
2957-LOLHO,Yes,No
6048-NJXHX,Yes,No
2320-SLKMB,No,No phone service
4980-URKXC,Yes,No
4376-KFVRS,Yes,Yes
5886-VLQVU,Yes,Yes
3577-AMVUX,Yes,No
0771-WLCLA,Yes,Yes
5628-RKIFK,Yes,Yes
0206-TBWLC,Yes,Yes
2937-FTHUR,Yes,Yes
1910-FMXJM,Yes,No
7752-XUSCI,Yes,Yes
4110-PFEUZ,Yes,No
0732-OCQOC,Yes,Yes
5168-MSWXT,Yes,No
1090-ESELR,Yes,No
8592-PLTMQ,Yes,Yes
5760-WRAHC,Yes,No
8847-GEOOQ,No,No phone service
0256-LTHVJ,Yes,No
4785-FCIFB,Yes,Yes
8313-NDOIA,Yes,Yes
5149-CUZUJ,Yes,No
0942-KOWSM,Yes,No
4237-CLSMM,Yes,No
1452-VOQCH,Yes,Yes
4719-UMSIY,Yes,No
6614-VBEGU,Yes,No
0880-TKATG,Yes,Yes
3811-VBYBZ,Yes,Yes
1480-BKXGA,Yes,Yes
2996-XAUVF,No,No phone service
9076-AXYIK,Yes,Yes
5968-XQIVE,Yes,Yes
8896-RAZCR,Yes,No
4640-UHDOS,Yes,No
4933-IKULF,Yes,No
3583-EKAPL,Yes,No
1304-BCCFO,Yes,No
4104-PVRPS,Yes,No
9399-APLBT,Yes,No
2359-KMGLI,Yes,Yes
3780-DDGSE,Yes,No
4431-EDMIQ,Yes,No
0306-JAELE,Yes,No
6227-HWPWX,Yes,No
0486-LGCCH,Yes,No
0447-BEMNG,No,No phone service
4612-SSVHJ,Yes,No
5168-MQQCA,Yes,Yes
5949-XIKAE,Yes,No
7971-HLVXI,Yes,Yes
9094-AZPHK,Yes,Yes
3649-JPUGY,Yes,Yes
4472-LVYGI,No,No phone service
8372-JUXUI,Yes,Yes
3552-CTCYF,Yes,Yes
6778-YSNIH,Yes,No
0388-EOPEX,Yes,No
5756-OZRIO,Yes,Yes
6579-JPICP,Yes,No
8205-OTCHB,No,No phone service
4134-BSXLX,Yes,No
0505-SPOOW,Yes,No
6235-VDHOM,No,No phone service
7783-YKGDV,Yes,Yes
4374-YMUSQ,Yes,Yes
4513-CXYIX,Yes,Yes
3957-HHLMR,Yes,Yes
7803-XOCCZ,Yes,No
5736-YEJAX,Yes,Yes
5609-CEBID,Yes,Yes
8981-FJGLA,Yes,Yes
7218-HKQFK,Yes,No
4636-QRJKY,Yes,Yes
1135-LMECX,Yes,No
4332-MUOEZ,Yes,No
8535-SFUTN,Yes,Yes
5956-VKDTT,Yes,Yes
8677-HDZEE,Yes,Yes
2475-MROZF,Yes,Yes
9412-GHEEC,Yes,Yes
3482-ABPKK,Yes,No
6705-LXORM,Yes,No
0257-ZESQC,Yes,No
7531-GQHME,Yes,No
5174-ITUMV,Yes,Yes
4109-CYRBD,Yes,Yes
0913-XWSCN,Yes,Yes
6825-UYPFK,Yes,Yes
8397-MVTAZ,Yes,Yes
0750-EBAIU,Yes,No
8606-CIQUL,Yes,Yes
3571-DPYUH,Yes,Yes
7601-GNDYK,Yes,No
0356-OBMAC,Yes,Yes
8067-NIOYM,Yes,No
1403-GYAFU,Yes,No
4234-XTNEA,Yes,No
1297-VQDRP,Yes,Yes
9282-IZGQK,Yes,Yes
5348-CAGXB,Yes,Yes
0621-HJWXJ,Yes,Yes
5844-QVTAT,Yes,No
8905-IAZPF,Yes,No
5394-MEITZ,Yes,No
6859-QNXIQ,Yes,Yes
2782-LFZVW,Yes,Yes
2866-IKBTM,Yes,No
1342-JPNKI,Yes,Yes
2817-NTQDO,No,No phone service
7129-AZJDE,Yes,No
6986-IJDHX,Yes,No
2560-PPCHE,Yes,Yes
4676-MQUEA,Yes,Yes
8138-EALND,Yes,No
3580-HYCSP,Yes,Yes
1352-HNSAW,Yes,Yes
2075-PUEPR,Yes,No
1982-FEBTD,Yes,Yes
5301-GAUUY,Yes,Yes
5791-KAJFD,Yes,Yes
2654-VBVPB,Yes,No
1154-HYWWO,Yes,No
2501-XWWTZ,Yes,No
3716-UVSPD,Yes,No
6815-ABQFQ,Yes,Yes
7343-EOBEU,Yes,Yes
3701-SFMUH,Yes,No
6103-LIANB,Yes,Yes
7319-VENRZ,Yes,No
5846-NEQVZ,Yes,No
6967-QIQRV,Yes,No
5781-RFZRP,Yes,Yes
0939-YAPAF,Yes,Yes
0308-IVGOK,No,No phone service
7293-LSCDV,Yes,No
7025-WCBNE,Yes,Yes
5756-JYOJT,Yes,No
4710-FDUIZ,Yes,Yes
6030-REHUX,Yes,Yes
9548-LIGTA,Yes,No
5150-LJNSR,Yes,Yes
8270-RKSAP,Yes,No
6522-YRBXD,Yes,Yes
2640-LYMOV,Yes,No
1218-VKFPE,Yes,No
3627-FHKBK,Yes,No
2865-TCHJW,Yes,Yes
1423-BMPBQ,Yes,No
2393-DIVAI,Yes,No
5192-EBGOV,Yes,Yes
4568-KNYWR,Yes,No
8752-IMQOS,Yes,No
0742-LAFQK,Yes,Yes
0795-LAFGP,Yes,Yes
0619-OLYUR,Yes,Yes
5512-IDZEI,Yes,Yes
0459-SPZHJ,Yes,Yes
0215-BQKGS,Yes,No
9244-ZVAPM,Yes,No
0719-SYFRB,Yes,Yes
8208-EUMTE,No,No phone service
5172-MIGPM,Yes,Yes
1710-RCXUS,Yes,Yes
0374-FIUCA,Yes,No
5839-SUYVZ,Yes,No
5173-ZXXXL,Yes,No
1096-ADRUX,Yes,Yes
2001-MCUUW,Yes,Yes
2731-GJRDG,Yes,Yes
4723-BEGSG,Yes,Yes
6516-NKQBO,Yes,No
8672-OAUPW,Yes,No
8207-DMRVL,Yes,Yes
3419-SNJJD,Yes,Yes
6543-CPZMK,No,No phone service
4765-OXPPD,Yes,No
2804-ETQDK,Yes,No
6689-VRRTK,Yes,Yes
7138-GIRSH,Yes,Yes
9396-ZSFLL,Yes,Yes
6464-KEXXH,No,No phone service
7134-MJPDY,Yes,Yes
5240-CAOYT,Yes,Yes
4059-IIEBK,Yes,Yes
4881-JVQOD,No,No phone service
0516-UXRMT,Yes,Yes
4851-BQDNX,Yes,No
5148-HKFIR,Yes,No
1009-IRMNA,Yes,No
3003-CMDUU,Yes,No
5016-IBERQ,Yes,Yes
6797-UCJHZ,Yes,Yes
2469-DTSGX,Yes,Yes
4554-YGZIH,Yes,Yes
5099-BAILX,Yes,Yes
9931-KGHOA,Yes,Yes
1775-KWJKQ,Yes,Yes
7665-VIGUD,Yes,No
9411-TPQQV,No,No phone service
7207-RMRDB,Yes,Yes
7954-MLBUN,Yes,No
2077-DDHJK,Yes,Yes
4913-EHYUI,Yes,Yes
0195-IESCP,Yes,Yes
9574-BOSMD,Yes,Yes
4580-TMHJU,Yes,No
0970-ETWGE,Yes,No
4908-XAXAY,Yes,No
8404-VLQFB,Yes,Yes
1626-ERCMM,Yes,Yes
0887-HJGAR,Yes,No
2391-IPLOP,Yes,Yes
5644-PDMZC,Yes,Yes
3509-GWQGF,Yes,No
9576-ANLXO,Yes,No
2024-BASKD,Yes,No
5845-BZZIB,Yes,No
1140-UKVZG,Yes,Yes
4160-AMJTL,Yes,No
5183-SNMJQ,Yes,No
8100-PNJMH,Yes,Yes
7838-LAZFO,Yes,No
4464-JCOLN,Yes,No
2085-JVGAD,Yes,No
5650-VDUDS,No,No phone service
8095-WANWK,Yes,No
3030-ZKIWL,Yes,No
9565-FLVCG,Yes,Yes
8755-OGKNA,Yes,No
2800-VEQXM,Yes,No
7538-GWHML,Yes,No
5533-RJFTJ,No,No phone service
3859-CVCET,Yes,No
0214-JHPFW,No,No phone service
5642-MHDQT,Yes,No
3088-FVYWK,Yes,Yes
3276-HDUEG,Yes,Yes
9092-GDZKO,Yes,Yes
0823-HSCDJ,No,No phone service
3729-OWRVL,Yes,Yes
2324-AALNO,Yes,Yes
0822-GAVAP,No,No phone service
5760-IFJOZ,Yes,Yes
2826-UWHIS,Yes,Yes
1448-PWKYE,Yes,No
7501-IWUNG,Yes,No
4957-TREIR,Yes,No
7251-LJBQN,Yes,Yes
8040-MNRTF,Yes,No
1536-HBSWP,Yes,No
5313-FPXWG,Yes,Yes
0067-DKWBL,Yes,No
0946-FKYTX,No,No phone service
5076-YVXCM,Yes,Yes
8262-COGGB,Yes,No
6663-JOCQO,Yes,Yes
9620-QJREV,Yes,No
2276-YDAVZ,Yes,Yes
2682-KEVRP,Yes,No
2480-JZOSN,Yes,No
0078-XZMHT,Yes,Yes
5896-NPFWW,Yes,No
9978-HYCIN,Yes,No
8338-QIUNR,Yes,Yes
1525-LNLOJ,Yes,Yes
9450-TRJUU,Yes,Yes
1766-GKNMI,Yes,Yes
6942-LBFDP,Yes,No
1456-TWCGB,Yes,No
7133-VBDCG,Yes,No
7596-ZYWBB,Yes,No
8329-UTMVM,Yes,Yes
3014-WJKSM,Yes,No
3347-YJZZE,Yes,Yes
1029-QFBEN,Yes,No
7929-DMBCV,Yes,No
9661-JALZV,Yes,Yes
5433-KYGHE,Yes,Yes
4312-KFRXN,Yes,Yes
5575-TPIZQ,Yes,Yes
0114-IGABW,No,No phone service
9944-AEXBM,Yes,Yes
1853-ARAAQ,No,No phone service
6952-OMNWB,Yes,Yes
4697-LUPSU,Yes,No
8434-VGEQQ,Yes,No
4952-YSOGZ,Yes,Yes
1589-AGTLK,Yes,No
5244-IRFIH,Yes,Yes
6549-YMFAW,Yes,No
4950-HKQTE,Yes,Yes
6786-OBWQR,Yes,No
2684-EIWEO,Yes,Yes
2753-JMMCV,Yes,Yes
6439-GTPCA,Yes,Yes
6621-YOBKI,Yes,No
1216-JWVUX,Yes,No
7564-GHCVB,Yes,Yes
1173-NOEYG,Yes,Yes
7595-EHCDL,No,No phone service
6647-ZEDXT,Yes,Yes
2521-NPUZR,Yes,No
1307-TVUFB,Yes,Yes
7503-MIOGA,Yes,Yes
4381-MHQDC,Yes,Yes
6923-JHPMP,Yes,No
5138-WVKYJ,Yes,Yes
4018-PPNDW,Yes,Yes
1635-FJFCC,Yes,No
2499-AJYUA,Yes,Yes
6919-ELBGL,Yes,Yes
3966-HRMZA,Yes,No
6425-JWTDV,Yes,No
8405-IGQFX,Yes,No
8224-IVVPA,Yes,No
9477-LGWQI,Yes,No
1410-RSCMR,Yes,No
3115-CZMZD,Yes,No
0139-IVFJG,Yes,No
6683-VLCTZ,Yes,Yes
5730-DBDSI,Yes,No
0030-FNXPP,Yes,No
2189-WWOEW,Yes,No
5684-FJVYR,Yes,Yes
4013-GUXND,Yes,No
1894-IGFSG,Yes,No
7379-POKDZ,Yes,No
1266-NZYUI,Yes,Yes
7969-FFOWG,Yes,No
4718-DHSMV,No,No phone service
5175-WLYXL,Yes,Yes
7817-OMJNA,Yes,No
8728-SKJLR,Yes,No
3137-NYQQI,Yes,No
7706-DZNKK,Yes,No
0236-HFWSV,Yes,Yes
3900-AQPHZ,Yes,No
5842-POCOP,Yes,No
2037-XJFUP,Yes,No
8823-RLPWL,Yes,Yes
9505-SQFSW,No,No phone service
7314-OXENN,Yes,Yes
3758-CKOQL,Yes,Yes
0322-CHQRU,Yes,No
5676-CFLYY,Yes,No
7521-AFHAB,Yes,No
0285-INHLN,Yes,No
4678-DVQEO,Yes,No
5125-CNDSP,No,No phone service
0691-IFBQW,Yes,Yes
4992-LTJNE,Yes,Yes
2202-OUTMO,Yes,Yes
0810-BDHAW,Yes,Yes
0229-LFJAF,Yes,Yes
7131-ZQZNK,No,No phone service
3442-ZHHCC,Yes,Yes
5726-CVNYA,Yes,No
9871-ELEYA,Yes,No
4257-GAESD,No,No phone service
5173-WXOQV,Yes,No
2040-OBMLJ,Yes,Yes
6286-ZHAOK,Yes,Yes
3807-XHCJH,Yes,No
3009-JWMPU,Yes,Yes
5671-RQRLP,Yes,Yes
1450-GALXR,Yes,Yes
8859-AXJZP,Yes,Yes
3174-AKMAS,Yes,No
3138-BKYAV,Yes,No
9926-PJHDQ,Yes,Yes
7382-DFJTU,Yes,No
2798-NYLMZ,Yes,Yes
4289-DTDKW,Yes,Yes
1820-TQVEV,Yes,No
2239-JALAW,Yes,Yes
4853-RULSV,Yes,Yes
8098-TDCBU,Yes,Yes
3551-GAEGL,No,No phone service
4785-NKHCX,Yes,No
3196-NVXLZ,Yes,Yes
6275-YDUVO,Yes,No
0036-IHMOT,Yes,No
0115-TFERT,Yes,Yes
4178-EGMON,Yes,Yes
4220-TINQT,Yes,Yes
5318-YKDPV,Yes,No
7975-TZMLR,Yes,Yes
0295-QVKPB,Yes,No
4335-BSMJS,Yes,Yes
2311-QYMUQ,Yes,No
3643-AHCFP,Yes,Yes
9146-JRIOX,Yes,Yes
3104-OWCGK,Yes,No
5337-IIWKZ,No,No phone service
9101-BWFSS,Yes,Yes
9650-VBUOG,Yes,Yes
3487-EARAT,Yes,No
2672-TGEFF,Yes,Yes
9231-ZJYAM,Yes,No
4250-WAROZ,Yes,Yes
8184-WMOFI,Yes,No
6982-SSHFK,Yes,No
6092-QZVPP,Yes,No
4625-LAMOB,Yes,No
0727-BMPLR,Yes,Yes
0392-BZIUW,Yes,Yes
1038-ZAGBI,Yes,No
6549-NNDYT,No,No phone service
3027-ZTDHO,Yes,No
0422-OHQHQ,Yes,No
6916-HIJSE,Yes,No
2316-ESMLS,No,No phone service
9778-OGKQZ,Yes,Yes
7408-OFWXJ,Yes,Yes
6007-TCTST,Yes,Yes
2252-NKNSI,Yes,Yes
8713-IGZSO,Yes,Yes
7905-TVXTA,Yes,No
7695-PKLCZ,Yes,No
2382-BCKQJ,Yes,Yes
8374-UULRV,Yes,Yes
2207-NHRJK,Yes,No
3224-DFQNQ,Yes,Yes
5275-PMFUT,No,No phone service
4795-UXVCJ,Yes,No
9777-IQHWP,Yes,Yes
0947-MUGVO,Yes,No
9944-HKVVB,Yes,No
4124-MMETB,Yes,Yes
3671-SHRSP,Yes,No
0979-MOZQI,No,No phone service
2732-ISEZX,Yes,No
3313-QKNKB,Yes,Yes
0323-XWWTN,Yes,Yes
1937-OTUKY,Yes,Yes
