CustomerID,MonthlyCharges,TotalCharges
6496-JDSSB,80.0,624.6
9408-SSNVZ,70.15,268.35
4443-EMBNA,24.75,1836.9
6469-MRVET,20.2,20.2
0742-MOABM,50.05,179.35
5961-VUSRV,19.35,219.35
6778-JFCMK,50.6,1288.75
6341-JVQGF,81.15,2545.75
2232-DMLXU,55.2,55.2
4811-JBUVU,89.9,2723.15
0945-TSONX,85.3,4107.25
2651-ZCBXV,108.0,5760.65
3316-UWXUY,93.5,4747.5
8937-RDTHP,84.6,84.6
7083-MIOPC,20.25,1566.9
1984-GPTEH,25.15,702.0
1251-KRREG,54.4,114.1
0621-JFHOL,29.6,299.05
9903-LYSAB,73.15,1305.95
0094-OIFMO,95.0,1120.3
9227-UAQFT,19.75,284.35
7301-ABVAD,86.6,6350.5
6614-FHDBO,109.2,7878.3
7576-ASEJU,74.7,3187.65
9058-HRZSV,94.4,6126.15
4522-AKYLR,54.8,731.3
0221-WMXNQ,75.35,273.4
0303-UNCIP,65.0,2531.8
9947-OTFQU,74.4,1074.3
0322-YINQP,48.55,48.55
0959-WHOKV,99.0,4298.45
4075-JFPGR,93.5,4619.55
4629-NRXKX,70.4,147.15
9514-JDSKI,40.2,40.2
3282-ZISZV,83.7,2633.3
3675-YDUPJ,19.85,193.05
4111-BNXIF,59.55,4103.9
7017-VFHAY,115.1,7008.15
6655-LHBYW,114.35,5791.1
4959-JOSRX,44.6,80.55
5046-NUHWD,45.0,1228.65
7273-TEFQD,41.15,132.2
3606-TWKGI,106.9,1364.3
7529-ZDFXI,89.85,4925.35
7605-BDWDC,49.85,1520.1
1950-KSVVJ,113.3,5032.25
0123-CRBRT,88.1,5526.75
6292-TOSSS,24.9,1195.25
3197-ARFOY,105.0,2007.25
6323-AYBRX,19.35,1099.6
7014-ZZXAW,24.25,1732.95
4385-GZQXV,94.45,1511.2
7633-MVPUY,59.75,3450.15
6366-ZGQGL,24.8,24.8
4716-HHKQH,107.05,2172.05
5940-AHUHD,70.6,70.6
6432-TWQLB,85.4,401.1
4484-GLZOU,105.05,5624.85
3179-GBRWV,64.95,1339.8
8645-KWHJO,55.0,771.95
4130-MZLCC,50.55,244.75
0314-TKOSI,55.15,322.9
8229-MYEJZ,51.2,498.25
2080-SRCDE,25.4,25.4
9577-WJVCQ,54.45,3687.75
9512-UIBFX,95.15,1779.95
6202-DYYFX,76.0,1783.6
3808-HFKDE,44.35,927.15
5583-SXDAG,70.0,70.0
3488-PGMQJ,74.5,606.55
3580-REOAC,44.85,435.4
7534-BFESC,76.1,1712.7
3727-OWVYD,61.2,2021.2
2294-SALNE,86.8,1940.8
4847-TAJYI,89.35,567.8
1563-IWQEX,19.7,220.35
8203-XJZRC,20.25,20.25
6556-DBKZF,76.05,5436.45
6851-WEFYX,100.8,3437.5
2985-JUUBZ,74.55,3015.75
6390-DSAZX,73.6,73.6
0895-LMRSF,64.9,1509.8
8098-LLAZX,95.45,396.1
8266-VBFQL,90.4,356.65
8181-YHCMF,60.3,4109.0
2240-HSJQD,81.85,3141.7
1248-DYXUB,24.8,1229.1
0265-EDXBD,74.9,2303.35
4115-BNPJY,75.55,2054.4
3167-SNQPL,101.15,3741.85
4091-TVOCN,78.75,3682.45
1098-TDVUQ,19.25,19.25
7277-OZCGZ,89.05,1886.25
1557-EMYVT,115.05,4895.1
2799-ARNLO,69.35,341.6
7563-BIUPC,80.6,415.55
5027-YOCXN,110.05,5686.4
3973-SKMLN,19.9,1355.1
2321-OMBXY,80.3,3058.65
2840-XANRC,93.15,2231.05
6745-JEFZB,91.5,3236.35
5020-ZSTTY,82.45,4350.1
9880-TDQAC,60.0,4264.0
8705-WZCYL,44.8,44.8
7102-JJVTX,48.6,422.3
8626-PTQGE,60.05,4176.7
4983-CLMLV,102.7,5138.1
5701-YVSVF,82.9,880.05
5804-LEPIM,70.35,139.05
5697-GOMBF,35.9,973.65
2739-CACDQ,82.65,1470.05
9385-EHGDO,19.85,739.35
9498-FIMXL,19.2,161.95
2379-GYFLQ,94.9,4422.95
0122-OAHPZ,73.85,511.25
2868-SNELZ,80.6,155.8
4322-RCYMT,75.8,5293.95
6680-NENYN,104.6,4759.85
2088-IEBAU,88.15,6148.45
7982-VCELR,94.8,3565.65
1343-EHPYB,103.4,6603.0
6035-BXTTY,54.65,1830.1
6885-PKOAM,85.75,6223.8
7520-HQWJU,67.45,4508.65
9639-BUJXT,20.5,1328.15
5924-SNGKP,20.25,865.0
0021-IKXGC,72.1,72.1
2034-GDRCN,90.4,168.2
8966-SNIZF,19.45,1303.5
6243-OZGFH,44.95,996.85
4654-DLAMQ,97.0,6430.9
0513-RBGPE,62.8,2278.75
5160-UXJED,44.6,681.4
4115-NZRKS,89.15,574.35
0219-YTZUE,84.8,371.9
0623-IIHUG,41.9,840.1
4572-DVCGN,80.25,846.0
3351-NGXYI,54.1,889.0
8984-EYLLL,105.25,6823.4
9057-MSWCO,30.75,805.1
9833-TGFHX,97.1,4016.75
9294-TDIPC,20.2,83.75
5229-DTFYB,98.8,3959.15
0104-PPXDV,50.3,2878.55
5176-LMJXE,20.55,945.7
3583-KRKMD,75.9,1373.05
1010-DIAUQ,96.5,492.55
9069-LGEUL,59.95,1406.0
7302-ZHMHP,19.15,19.15
9571-EDEBV,98.65,6962.85
3520-FJGCV,112.6,8126.65
6563-VRERX,20.6,690.25
0259-GBZSH,85.65,181.5
6122-EFVKN,35.75,830.8
2805-EDJPQ,99.75,5608.4
6862-CQUMB,96.1,3646.8
7156-MXBJE,85.1,3662.25
6158-HDPXZ,25.35,25.35
9601-BRXPO,104.95,2566.5
2863-IMQDR,89.65,5308.7
5686-CMAWK,86.75,1410.25
5651-CRHKQ,86.2,3339.05
6905-NIQIN,50.65,50.65
8204-YJCLA,64.8,4732.35
5167-ZFFMM,90.85,90.85
6583-SZVGP,108.1,5067.45
4895-TMWIR,19.95,214.75
0533-BNWKF,85.45,4874.7
1708-PBBOA,54.75,2348.45
8782-LKFPK,90.4,4063.0
5522-JBWMO,44.0,44.0
3597-MVHJT,95.6,2595.25
9774-NRNAU,84.8,2309.55
0224-RLWWD,44.3,89.3
9967-ATRFS,19.9,367.55
3951-NJCVI,95.05,3944.5
2977-CEBSX,90.05,5965.95
0177-PXBAT,109.9,3694.7
6599-CEBNN,73.95,2524.45
2519-ERQOJ,54.6,1803.7
5876-QMYLD,20.05,415.1
2277-AXSDC,19.75,624.15
9442-JTWDL,20.05,237.7
0979-PHULV,99.45,7007.6
3067-SVMTC,55.9,3848.8
5495-GPSRW,19.7,419.4
7606-BPHHN,19.8,1468.75
4742-DRORA,95.4,5812.0
0111-KLBQG,93.95,2861.45
4800-VHZKI,19.9,19.9
7989-CHGTL,19.6,19.6
0334-GDDSO,81.35,233.7
4163-NCJAK,24.45,1066.15
5233-AOZUF,74.95,2149.05
5973-EJGDP,87.35,4473.0
1996-DBMUS,70.65,3545.05
7916-VCCPB,73.25,1195.75
4686-GEFRM,98.7,6858.9
5249-QYHEX,24.8,1024.7
0578-SKVMF,83.3,1845.9
5564-NEMQO,75.3,75.3
2233-FAGXV,24.3,132.25
5605-IYGFG,69.85,515.45
7663-ZTEGJ,100.55,2830.45
3935-TBRZZ,25.7,1110.5
8111-BKVDS,40.7,449.3
2055-SIFSS,51.65,2838.55
2806-MLNTI,105.1,5376.4
8734-DKSTZ,85.95,858.6
4360-PNRQB,75.6,1395.05
6152-ONASV,58.25,3975.7
9063-ZGTUY,19.4,1182.55
7781-HVGMK,65.2,4784.45
2181-UAESM,53.45,119.5
2957-LOLHO,45.4,518.9
6048-NJXHX,19.75,899.45
2320-SLKMB,44.45,1183.8
4980-URKXC,20.85,720.05
4376-KFVRS,114.05,8468.2
5886-VLQVU,89.85,3161.2
3577-AMVUX,55.05,55.05
0771-WLCLA,112.95,1882.55
5628-RKIFK,101.55,5070.4
0206-TBWLC,114.65,6049.5
2937-FTHUR,64.8,1166.7
1910-FMXJM,80.4,2937.65
7752-XUSCI,105.9,6396.45
4110-PFEUZ,69.55,69.55
0732-OCQOC,25.05,1270.25
5168-MSWXT,94.75,759.55
1090-ESELR,105.5,7611.55
8592-PLTMQ,24.7,1642.75
5760-WRAHC,69.75,1545.4
8847-GEOOQ,60.2,3582.4
0256-LTHVJ,81.05,2227.1
4785-FCIFB,24.4,1417.9
8313-NDOIA,104.15,2494.65
5149-CUZUJ,92.9,2768.35
0942-KOWSM,80.8,2369.3
4237-CLSMM,20.0,38.0
1452-VOQCH,75.1,75.1
4719-UMSIY,19.65,100.9
6614-VBEGU,69.45,1614.05
0880-TKATG,101.15,385.9
3811-VBYBZ,99.8,673.25
1480-BKXGA,116.05,8404.9
2996-XAUVF,40.05,2799.75
9076-AXYIK,102.1,6538.45
5968-XQIVE,89.7,6588.95
8896-RAZCR,19.9,868.1
4640-UHDOS,55.95,734.35
4933-IKULF,20.65,330.6
3583-EKAPL,55.0,55.0
1304-BCCFO,70.05,564.4
4104-PVRPS,53.6,1315.35
9399-APLBT,74.7,74.7
2359-KMGLI,80.25,1861.5
3780-DDGSE,76.05,2747.2
4431-EDMIQ,75.7,554.05
0306-JAELE,96.1,453.4
6227-HWPWX,69.0,994.8
0486-LGCCH,19.65,225.75
0447-BEMNG,45.3,2145.0
4612-SSVHJ,81.45,1671.6
5168-MQQCA,108.5,8003.8
5949-XIKAE,83.55,680.05
7971-HLVXI,84.5,6130.85
9094-AZPHK,100.15,1415.0
3649-JPUGY,88.6,6201.95
4472-LVYGI,52.55,
8372-JUXUI,74.35,74.35
3552-CTCYF,104.8,6597.25
6778-YSNIH,59.0,114.15
0388-EOPEX,74.4,139.4
5756-OZRIO,64.05,3902.6
6579-JPICP,20.4,20.4
8205-OTCHB,43.75,903.6
4134-BSXLX,60.9,1785.65
0505-SPOOW,19.8,1397.65
6235-VDHOM,28.45,131.05
7783-YKGDV,99.7,1238.45
4374-YMUSQ,116.25,3899.05
4513-CXYIX,80.7,5676.0
3957-HHLMR,65.2,4543.15
7803-XOCCZ,84.05,4326.8
5736-YEJAX,79.45,5502.55
5609-CEBID,94.1,1782.4
8981-FJGLA,78.0,851.8
7218-HKQFK,94.2,167.5
4636-QRJKY,80.5,502.85
1135-LMECX,19.85,19.85
4332-MUOEZ,94.3,1818.3
8535-SFUTN,106.45,6300.15
5956-VKDTT,74.35,334.8
8677-HDZEE,105.45,5916.95
2475-MROZF,95.0,2852.4
9412-GHEEC,104.8,4131.95
3482-ABPKK,54.3,1546.3
6705-LXORM,70.05,302.6
0257-ZESQC,75.2,1929.35
7531-GQHME,20.05,265.45
5174-ITUMV,105.4,6989.45
4109-CYRBD,51.6,1442.0
0913-XWSCN,85.5,4713.4
6825-UYPFK,75.6,1758.6
8397-MVTAZ,100.05,3480.0
0750-EBAIU,91.25,4738.3
8606-CIQUL,115.75,8399.15
3571-DPYUH,94.7,5430.35
7601-GNDYK,19.6,686.95
0356-OBMAC,99.9,5706.3
8067-NIOYM,21.1,490.65
1403-GYAFU,20.05,1360.25
4234-XTNEA,79.95,174.45
1297-VQDRP,107.15,7379.8
9282-IZGQK,85.0,85.0
5348-CAGXB,89.55,1021.75
0621-HJWXJ,81.55,5029.05
5844-QVTAT,58.45,1955.4
8905-IAZPF,95.65,6744.2
5394-MEITZ,80.6,4946.7
6859-QNXIQ,113.1,8248.5
2782-LFZVW,58.95,601.6
2866-IKBTM,19.55,19.55
1342-JPNKI,86.05,834.1
2817-NTQDO,45.55,597.0
7129-AZJDE,78.95,2647.2
6986-IJDHX,86.3,3266.0
2560-PPCHE,105.05,6744.25
4676-MQUEA,101.9,5265.5
8138-EALND,19.75,311.6
3580-HYCSP,110.3,7966.9
1352-HNSAW,115.6,8220.4
2075-PUEPR,19.35,1153.25
1982-FEBTD,25.6,514.75
5301-GAUUY,80.35,2596.15
5791-KAJFD,68.75,3808.0
2654-VBVPB,19.9,19.9
1154-HYWWO,70.6,2708.2
2501-XWWTZ,70.2,760.05
3716-UVSPD,49.3,49.3
6815-ABQFQ,107.25,6033.3
7343-EOBEU,23.6,89.05
3701-SFMUH,69.7,516.15
6103-LIANB,99.5,5861.75
7319-VENRZ,64.3,445.95
5846-NEQVZ,70.85,4973.4
6967-QIQRV,101.9,1667.25
5781-RFZRP,73.5,5357.75
0939-YAPAF,100.25,3527.6
0308-IVGOK,40.4,422.6
7293-LSCDV,19.25,1103.25
7025-WCBNE,59.6,2754.0
5756-JYOJT,64.9,697.25
4710-FDUIZ,100.3,5614.45
6030-REHUX,110.85,3204.4
9548-LIGTA,81.05,4747.65
5150-LJNSR,98.05,3082.1
8270-RKSAP,70.5,597.9
6522-YRBXD,94.55,3365.4
2640-LYMOV,19.65,38.8
1218-VKFPE,19.0,233.55
3627-FHKBK,75.3,75.3
2865-TCHJW,89.2,346.2
1423-BMPBQ,19.0,19.0
2393-DIVAI,20.0,61.7
5192-EBGOV,85.7,85.7
4568-KNYWR,63.25,3342.45
8752-IMQOS,20.1,85.1
0742-LAFQK,99.15,7422.1
0795-LAFGP,90.4,6668.05
0619-OLYUR,111.9,8071.05
5512-IDZEI,24.9,1174.8
0459-SPZHJ,83.5,5435.0
0215-BQKGS,84.3,2438.6
9244-ZVAPM,45.6,45.6
0719-SYFRB,61.65,713.75
8208-EUMTE,54.85,916.15
5172-MIGPM,65.55,237.2
1710-RCXUS,90.35,4614.55
0374-FIUCA,20.4,1414.45
5839-SUYVZ,74.55,1170.5
5173-ZXXXL,19.95,47.7
1096-ADRUX,74.25,4859.25
2001-MCUUW,108.65,4903.2
2731-GJRDG,109.55,3608.0
4723-BEGSG,86.65,6094.25
6516-NKQBO,81.0,3084.9
8672-OAUPW,47.85,2356.75
8207-DMRVL,114.55,8306.05
3419-SNJJD,105.25,6786.4
6543-CPZMK,29.95,248.95
4765-OXPPD,65.0,663.05
2804-ETQDK,20.55,1357.1
6689-VRRTK,109.8,4860.35
7138-GIRSH,69.5,3418.2
9396-ZSFLL,48.85,631.4
6464-KEXXH,25.25,186.3
7134-MJPDY,102.85,6976.75
5240-CAOYT,87.55,4884.85
4059-IIEBK,78.55,522.95
4881-JVQOD,34.55,362.6
0516-UXRMT,92.05,5755.8
4851-BQDNX,85.05,3355.65
5148-HKFIR,19.7,406.95
1009-IRMNA,20.0,137.6
3003-CMDUU,95.15,2395.7
5016-IBERQ,84.25,1968.1
6797-UCJHZ,104.6,6819.45
2469-DTSGX,111.65,7943.45
4554-YGZIH,90.05,4547.25
5099-BAILX,110.75,4687.9
9931-KGHOA,55.0,2473.95
1775-KWJKQ,89.85,6562.9
7665-VIGUD,20.35,176.3
9411-TPQQV,54.55,2236.2
7207-RMRDB,105.5,6985.65
7954-MLBUN,99.45,3109.9
2077-DDHJK,70.9,4911.35
4913-EHYUI,104.55,5794.65
0195-IESCP,85.25,855.3
9574-BOSMD,25.4,1620.2
4580-TMHJU,56.15,2499.3
0970-ETWGE,89.55,89.55
4908-XAXAY,89.85,4287.2
8404-VLQFB,25.25,394.85
1626-ERCMM,94.55,1899.65
0887-HJGAR,45.7,45.7
2391-IPLOP,69.65,3442.15
5644-PDMZC,89.5,161.5
3509-GWQGF,70.0,1732.6
9576-ANLXO,69.55,222.3
2024-BASKD,74.6,74.6
5845-BZZIB,20.1,655.3
1140-UKVZG,24.8,475.25
4160-AMJTL,19.65,164.3
5183-SNMJQ,95.1,865.1
8100-PNJMH,88.85,6132.7
7838-LAZFO,78.8,3597.5
4464-JCOLN,19.85,35.9
2085-JVGAD,20.35,697.65
5650-VDUDS,24.25,96.05
8095-WANWK,45.25,428.7
3030-ZKIWL,20.05,20.05
9565-FLVCG,69.55,4459.15
8755-OGKNA,19.5,1167.6
2800-VEQXM,74.75,238.1
7538-GWHML,69.65,145.15
5533-RJFTJ,30.2,1453.1
3859-CVCET,45.65,191.05
0214-JHPFW,57.8,4039.3
5642-MHDQT,19.85,1039.45
3088-FVYWK,25.55,1336.1
3276-HDUEG,75.05,75.05
9092-GDZKO,24.85,493.4
0823-HSCDJ,49.15,2550.9
3729-OWRVL,110.35,7246.15
2324-AALNO,24.55,1203.95
0822-GAVAP,34.7,62.25
5760-IFJOZ,107.95,313.6
2826-UWHIS,81.4,3775.85
1448-PWKYE,80.0,80.0
7501-IWUNG,73.8,4616.05
4957-TREIR,64.4,195.65
7251-LJBQN,103.75,4188.4
8040-MNRTF,71.1,71.1
1536-HBSWP,49.9,49.9
5313-FPXWG,24.6,1266.4
0067-DKWBL,49.25,91.1
0946-FKYTX,30.1,1623.4
5076-YVXCM,83.4,4149.45
8262-COGGB,20.45,20.45
6663-JOCQO,75.25,2344.5
9620-QJREV,20.55,1013.05
2276-YDAVZ,75.1,270.7
2682-KEVRP,20.05,417.0
2480-JZOSN,20.65,20.65
0078-XZMHT,85.15,6316.2
5896-NPFWW,50.15,168.15
9978-HYCIN,84.95,4018.05
8338-QIUNR,66.5,4811.6
1525-LNLOJ,63.3,4189.7
9450-TRJUU,83.15,2848.45
1766-GKNMI,84.9,2516.2
6942-LBFDP,20.55,33.6
1456-TWCGB,49.25,208.45
7133-VBDCG,79.85,2015.35
7596-ZYWBB,59.6,3739.8
8329-UTMVM,104.65,2964.0
3014-WJKSM,75.3,2263.4
3347-YJZZE,80.1,2211.8
1029-QFBEN,19.55,19.55
7929-DMBCV,81.0,1683.7
9661-JALZV,24.7,1519.0
5433-KYGHE,86.0,1164.05
4312-KFRXN,25.4,1710.9
5575-TPIZQ,89.15,4245.55
0114-IGABW,58.25,4145.9
9944-AEXBM,85.65,2664.3
1853-ARAAQ,50.35,1277.5
6952-OMNWB,80.35,5589.3
4697-LUPSU,20.2,34.75
8434-VGEQQ,20.55,1305.95
4952-YSOGZ,85.95,381.3
1589-AGTLK,45.35,141.5
5244-IRFIH,94.5,3105.55
6549-YMFAW,21.25,204.55
4950-HKQTE,26.25,605.9
6786-OBWQR,80.85,356.1
2684-EIWEO,91.7,2758.15
2753-JMMCV,74.2,4805.65
6439-GTPCA,87.25,3941.7
6621-YOBKI,20.35,92.75
1216-JWVUX,75.5,1901.05
7564-GHCVB,79.05,5730.7
1173-NOEYG,90.15,2423.4
7595-EHCDL,50.6,1653.45
6647-ZEDXT,110.45,3327.05
2521-NPUZR,101.0,7085.5
1307-TVUFB,79.35,3344.1
7503-MIOGA,89.85,6697.35
4381-MHQDC,65.0,2879.9
6923-JHPMP,80.45,137.1
5138-WVKYJ,98.55,1008.55
4018-PPNDW,24.1,1551.6
1635-FJFCC,44.05,202.15
2499-AJYUA,110.8,7882.25
6919-ELBGL,114.95,8196.4
3966-HRMZA,75.05,202.9
6425-JWTDV,19.25,855.1
8405-IGQFX,90.05,5817.0
8224-IVVPA,56.7,1652.95
9477-LGWQI,80.15,5600.15
1410-RSCMR,71.35,515.75
3115-CZMZD,20.25,
0139-IVFJG,90.35,190.5
6683-VLCTZ,98.55,1842.8
5730-DBDSI,19.7,1253.8
0030-FNXPP,19.85,57.2
2189-WWOEW,85.9,1269.55
5684-FJVYR,90.35,6563.4
4013-GUXND,20.8,20.8
1894-IGFSG,89.25,1907.85
7379-POKDZ,70.3,208.85
1266-NZYUI,66.85,4758.8
7969-FFOWG,19.9,1292.6
4718-DHSMV,35.8,363.15
5175-WLYXL,78.85,1600.25
7817-OMJNA,20.4,275.7
8728-SKJLR,74.25,3089.1
3137-NYQQI,64.8,1175.6
7706-DZNKK,20.45,237.3
0236-HFWSV,93.35,1444.65
3900-AQPHZ,19.9,19.9
5842-POCOP,88.9,454.15
2037-XJFUP,95.8,3036.75
8823-RLPWL,110.65,8065.65
9505-SQFSW,40.3,92.5
7314-OXENN,82.0,184.65
3758-CKOQL,107.0,6152.3
0322-CHQRU,45.35,89.5
5676-CFLYY,73.35,5154.5
7521-AFHAB,44.8,220.45
0285-INHLN,54.75,1510.3
4678-DVQEO,52.2,52.2
5125-CNDSP,40.6,2588.95
0691-IFBQW,110.0,4874.8
4992-LTJNE,55.3,3983.6
2202-OUTMO,60.85,2003.6
0810-BDHAW,78.4,1832.4
0229-LFJAF,69.65,4908.25
